review,note
"Chất lượng sản phẩm rất kém, mác thì bị bong ra đâu mất rồi",0
Đường may cẩu thả,0
"Banh bị xì , bơm mãi ko căng",0
"Vải thô mặc hơi nóng, dễ bai xù nếu ai kĩ tính quá thì ko nên mua kẻo tội shop",0
Quả thực mặc không dc,0
"khăn sai số quá lớn,theo hình mình chụp thì gấp đôi khăn lại thì phải đo được 2 lần thước như vậy mới 120cm nhưng chổ dư còn lại ko đc 30cm thì các bạn biết lệch ntn rồi.sp ghi 60×120 nhưng thực tế chỉ 52×98. các bạn mua khăn nên lưu ý nếu muốn mua khăn to như mong muốn. hơi bị thất vọng",0
KHÔNG GIỐNG HÌNH,0
Vải quá mòng,0
Miếng vá nhỏ tí,0
"Sản phẩm làm mình thất vọng nhất so với tất cả, vải mỏng, kém, ship hàng tới thì hàng nhăn nheo",0
"Chất áo mỏng, mặc lộ áo trong",0
Đường may lỗi,0
Buồn cho shop ghê :)))),0
Đặt 2 áo thì 1 áo bị lỗi,0
Mong shop lần sau ktra trước khi gửi,0
"Khá bực mình và thất vọng vì khoá kéo áo, dây rút áo, vải áo là 3 màu khác nhau",0
"Áo chất đẹp, rộng rãi thoải mái, không dễ nhăn, 1 sao vì giao hàng chậm",0
Nách bị rộng,0
Qua xau,0
Cạch mặt lần sau k bao giờ mua hàng của shop luôn,0
Như shit ý,0
Mua là không trả được,0
Chất liệu thô,0
Bạn nào cao tầm 1m55 - 1m60 phải nặng từ 65kg - 70kg may ra mặc thành quần gen,0
Màu ko giống như anh shop,0
Nhưng..,0
Sao con lừa này shop ko cho pin luôn,0
Tệ và xấu,0
Đặt 2 cái size M thì cùng size M mà 1 cái rộng hơn hẳn còn 1 cái bé như size S .Kết quả cái bé k mặc đc,0
"Shop giao hàng không có tâm... nhặt chèn vào đơn hàng của mình chiếc áo cộc , trước khi đó đã nhắc shop rất nhiều lần vì cũng đọc đc feedback shop giao nhầm , Nt thì bảo gửi hàng lại cho mình nhưng vẫn không thấy . nt không thấy tl nữa . các b muốn mua số lượng nên lưu ý",0
Màu lai áo hơi nhạt,0
What the fuckss??,0
hàng gì như đồ mã hàng dởm mà đem rao bán trên SHOPEE Thiệt mất uy tín của Shopee,0
"Mới dùng 1 ngày lót bên trong đã rách, phải cắt bỏ phần ngăn lót, nói chung chất lượng không tốt, giao hàng chậm",0
Giao lộn màu,0
"Chất lượng quá kèm, của rẻ là của ôi",0
Mùi hơi thơm quá,0
Nhắn shop k lấy đá lọc thay bằng 4m dây ok r cho 2m dây thế thà lấy đá lọc cho xong,0
E vảo màu tím shop dao cho e màu đen,0
Nhưng k sao nhìn xa thì cũng đk,0
Chất lượng sản phẩm kém,0
M mua hộ 1 ng bị shop giao nhầm size nên ko đi đc,0
Giặt xong là 2 bàn tay cũng đen theo luôn,0
Giá tận 175k nhưng ko ghi giá trên chai ko biết có khai khống giá không,0
Hỏi shop muốn đổi xuống sz nhỏ hơn thì shop tl 1 cách hời hợt cho qua,0
Ktra kĩ khi mang cho khách,0
Form k ôm mà hơi suông,0
Nói chung là xàm,0
Mọi người hãy cân nhắc kỹ trước khi mua,0
Chọn màu 25 là cam nhưng khi test môi k co một chút gi gọi là cam cả,0
"Shop gửi thiếu hàng lần 1 đặt 10c gửi đc 7c, lần 2 đặt 8 cái gửi có 2 cái, nhắn tin thì chặn tin nhắn🙃 nhuốt hơn 500k cẩn thận Ko nghẹn 😘",0
Chất vải quá tồi,0
Kích cỡ chưa chuẩn,0
Chất lượng sản phẩm rất kém,0
K giống như clip lắm ạ 😟😌,0
Shop gửi sai màu,0
San phẩm không giong với Hinh,0
Nỉ cực mỏng,0
Hàng k như mình nghĩ,0
Áo khác với hình,0
Tiền sao hàng vậy,0
Chỗ bo tay áo chật quá,0
Quần rộng thùng thình,0
"Chất vải đẹp, k vừa rộng, với lại bên trong may ẩu quá, bị phùng 1 bên",0
Màu k giống 2 màu giống nhau,0
Giao sai size,0
Đường may ẩu ạ,0
Áo dc nhưng có vết vàng vàng 2 chổ haiz.,0
Đây là kiểu bán hàng gì vậy??,0
Quá bực mình với người giao hàng,0
Chỉ mua 1 lần và sẽ không bao giờ có lần thứ 2,0
60kg shop tư vấn xl nhưng ko mac vừa,0
Mua cọc tay giao dài tay.vải k co giãn,0
Đúng là sai sự thật,0
Vải rất rất mỏng,0
Gói hàng đẹp và kĩ,0
Áo hơi ngắn tay nhưng vẫn đẹp,0
Lần trước có mua rồi và được loại kích thước lớn hơn gấp đôi mà giá rẻ hơn nữa,0
"Hàng bị lỗi dùng không được, shop phản hồi đổi trả để mình sửa lại đánh giá nhé",0
Mua thi de nhung doi thi kho khan lam.goi hoai va nhan tin shop 0 tra loi.mua ve mac 0 duoc nen moi doi chu ai muon doi,0
"Mua size to nhất mà mình bầu 5 tháng 51kg ko vừa bụng, bỏ uổng quá",0
nắp trong không được cân đối cho lắm,0
Chất lượng sản phẩm rất kém Đóng gói sản phẩm rất kém Rất không đáng tiền,0
Làm ăn có tâm tí nhé :) Shop phục vụ rất kém,0
Hàng bị lỗi ko đổi trả được,0
Cảm thấy cực kì thất vọng Shop phục vụ rất kém,0
Mình bảo là gửi màu đen vs xanh mà chỉ gửi màu xanh thôi màu đen ko thấy,0
Hỏi chân bt đi 381/2 shop tư vấn đi 39 nhận được giày đầu tiên có hơi thất vọng về chất lượng.Và Đi quá rộng k khác gì bơi trong giày k tới đích,0
Ao mong qua,0
"Chất liệu giày Vans old school khá cứng và nặng, không thích hợp chạy nhảy lắm",0
Chất k đẹp,0
"Chất của màu đen hơi thô và đường chỉ k chắc chắn, mình mặc lần đầu tiên và đến cuối ngày thì chiếc đó đã bị bục 1 phần chỉ ở phần ống quần",0
Tay áo sụt chỉ,0
Sợ bẩn í,0
Sp bị may lỗi,0
Bán hàng kiểu qua cầu rút váng,0
"Thời gian giao hàng chậm, Không đáng tiền",0
Shop giao nhầm màu: đặt màu nâu sữa giao màu vàng,0
"CẢNH BÁO: Các anh chị em KHÔNG NÊN mua hàng shop này, chuyển thiếu hàng cho Khách, Sau đó nói chuyển hàng thiếu lại rồi",0
Đóng gói sản phẩm kém Chất lượng sản phẩm tạm được Thời gian giao hàng rất chậm,0
Chất thô ráp mặc ngứa còn xù lông,0
"- Vải mỏng, hàng không giống hình 🙃🙂",0
Khác trong hình hoàn toàn,0
Áo này m thấy mỏng,0
Giao nhầm cho mình 1 cái 75b v 1 cái lại 75a :(,0
Sp bị bẩn,0
Nhưng bề mặt của đàn vẫn còn phần gồ ghề,0
Nhưng nhiều chỉ thừa,0
Nhưng mình mặc hơi chật ở bụng,0
Vải áo đợt này mỏng hơn vải áo đợt trước Do ạ,0
"Áo bị dơ nhiều chỗ, lem màu, áo mỏng",0
Giao sản phẩm áo bị dính màu..sao ko kiểm tra hàng roi giao cho khách vậy shop.làm ăn có trách nhiệm xíu nha,0
Áo qá ngắn so vs hình ảnh,0
Sản phân không có hộp như lời giới thiệu,0
Mình mua 4 giao 3,0
Giao nhầm màu,0
Chất lượng sản phẩm rất kém,0
Hình vẽ và chữ ko sắc nét,0
Mình chùi cỡ nào cũng không sạch nổi,0
Chất luọng chưa biết sao mà đóng gói kiểu gì mà ướt hết gói hàng,0
Áo bra quá mỏng quả còn bị méo nhìn như hàng dùng rồi,0
Khi nhận sản phẩm đã bị bong mất đinh ở quai,0
Tóm lại là quá tệ....,0
Nủ cực mỏng,0
Giao hàng k đủ.,0
Chất lượng sản phẩm kém,0
"sp rẻ nên lỏng lẻo, đi ko chắc chân, tiền nào của nấy,",0
From k chuẩn,0
Giao sai mẫu,0
Nhưng cũng khá oki,0
áo không đúng hình,0
Kg hiểu sao 2 cái 1 mỏng 1 dày!,0
Vỏ trầy xước hơi cũ,0
"Tính mua 2 bộ mà lỡ tay ấn mua 3 bộ k để ý , thế là thiếu mất 1 vỏ gối ôm , ib hỏi shop làm sao để mua thêm vỏ gối ôm 20k nữa mà chắc shop bận quá k kịp trả lời",0
- Đóng gói: Nên cho vào cái hộp giấy đóng gói thể hiện sự tôn trọng khách hàng thay vì quấn túi bóng đen ngòm trông hơi nhếch nhác,0
"Kiểu giống nhưng chất vải ko đẹp,vải thô cứng sờ vào nghe sột soạt.hàng xưởng may.vải giống phi bóng.rất nóng",0
Áo ko giống trong hình Chất lượng sản phẩm rất kém,0
Sạc thì chân micro ngắn dễ bị tuột ra khỏi máy nếu vừa sạc vừa dùng,0
Hàng Dao khác với hình trên mạng,0
Shop phục vụ kém mua sơn móng lựa màu gửi đàng hoàng rốt cuộc giao 6 chai chỉ có 1 màu Bây giờ hỏi lại shop tl cái rồi im luôn Chất lượng sản phẩm tạm được,0
Len thô,0
"Vai qua xau, duong may au, form rong mac kh duoc",0
Liên hệ shop không thấy trả lời,0
Màu nhìn k giống hình lắm,0
Váy k giao nhưng cx k được báo trước,0
Hàng gớm . quần mua mới về thấy rách 1 đường,0
Áo kiểu ko giống hình chút nào quá ngắn,0
Chất lượng tạm ổn,0
Vs giá này là ok,0
Nếu k có màu đấy thì nên ib cho khách để hỏi có lấy màu khác không chứ k nên cứ giao theo ý mình,0
Với giá này thì rất không đáng tiền,0
Giao hàng qá lâu gần 2 tuần,0
Đến khi mình nhắn tin hỏi thì lại chặn tin nhắn,0
Quan qua rong kg duong voi so ky,0
"Mất thgian đổi trả của người mua, shop cần lưu ý sản phẩm thế nào thì nói y như vậy để tạo quy tín cho mình",0
Dáng áo thì đc,0
Ảnh với sản phẩm nhận đc khác nhau hoàn toàn,0
Có ghi chú shop 5 đen 5 xám rùi n vẫn gửi 10 đen😭😭😭,0
Tay hơn ngắn,0
Áo màu đỏ bị rách nhiều,0
Mình bầu 1 tháng ko vừa,0
Mỏng tang,0
Vừa mặc đc 1 2 tiếng đã bị xù lông,0
Chất vải tạm được,0
màu không giống hình,0
Làm ăn ko có tý uy tín nào,0
Đẹp nhưng tóc ít hơn mình nghỉ,0
"màu trắng không trắng, bị dính mực màu xanh áo xấu, có mùi hôi",0
Ko biết sử dụng thì ko biết thế nào,0
Áo mỏng và màu không đẹp như trong ảnh,0
"Check lại giúp mình, mình ko dùng dc",0
Giao thiếu cho mình 3 món hàng,0
"Tuy nhiên tiền nào của đo thôi, rẻ mà",0
Nt shop k thèm tl,0
áo mau xanh mà đường may lộ chỉ màu hồng 1 tay,0
"Chất lượng sản phẩm cực kì kém, áo bé hơn nhiều so với mô tả, mặc vào vừa cộc vừa chật, sai hoàn toàn dáng áo, thời gian chuẩn bị hàng lâu hơn nhiều so với các shop khác, làm ăn gì như lừa đảo, nói chung mất tiền ngu, lần sau không bao giờ quay lại",0
"Vải tệ quá, thô quá trời 😡",0
Thời gian giao hàng rất chậm,0
Quá thất vọng về sản phẩm,0
"Gửi hàng nhầm, đã liên hệ với shop",0
giao sai mẫu,0
Lắp mãi hông đc,0
Mà bên vận chuyển còn lấy lý do là kh hẹn ngày lấy,0
Mua bộ đen nhưng gửi cho mình bộ khác,0
Bra vừa mặc thử xong bị rách luôn đường Chỉ nách,0
Áo đen vải rất cứng và đơ ko mặt đc,0
"Mình cao 1m6, nặng 50kg mà áo hơi dài quá thắt lưng xíu",0
"Hàng trầy xướt, không có dây sạc",0
Áo không ôm ngực,0
Đẹp chuẩn màu nhưng mỗi tội áo lỗi một bên vai to 1 bên nhỏ,0
"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền,lần đầu mình sẽ ủng hộ shop tiếp ah",0
"Đặt 4 áo, shop giao sai màu 3 áo",0
Mặc toàn tụt xuống mông,0
Làm ăn vô trách nhiệm,0
Buồn quá,0
Là người đi giao hàng lại bắt khách đi để nhận hàng,0
Mỗi tội Đặt áo dài tay mà shop gửi áo ngắn à,0
Dây cột hơi ngắn,0
Buồn thế ý,0
Giao hàng nhanh nhưng chất lượng vải kém quá,0
Vải ra màu,0
"Ko đúng mẫu trong hình, thấy giới thiệu là có khóa kéo mà hàng shop giao lại ko có :((",0
"Shop ơi 2 cái quần cùng size mà sao cái nhỏ cái bự , cái nhỏ mặc hok vừa Thời gian giao hàng rất nhanh",0
K đc đẹp như trên hình mẫu,0
Sử dụng không dk như ý lắm,0
Với 1 đôi bị chút bẩn,0
Chất rất chán,0
"Thời gian giao hàng chậm, giao sai hàng",0
Tạm ổn so với giá 😊😊😊,0
Áo đẹp nhưng bị rách 1 xíu,0
"Shop ơi, mua của shop 3 áo mà ko mặc đc cái nào, phải mang đi cho hết",0
"Đường may nhăn nhíu, khuy áo đơm rất ẩu, chỉ thừa tùm lum",0
Phải màu,0
"Hàng bị lỗi, liên lạc vs shop đổi hàng nhưng ko đc giải quyết ổn thoả, nhắn tin shop ko thèm trả lời, ko hài lòng",0
"Vải xổ lông, củ,bám bụi dơ.Thất vọg",0
Mình ko trả hàng vì xa lại tốn ship,0
Quá tệ shop ạ,0
Không đáng tiền Chất lượng sản phẩm kém Đóng gói sản phẩm kém,0
"Giao k đúng màu, có 1cái giao size nhỏ hơn k dùng đc",0
Đóng gói sản phẩm kém,0
Nói chung quá tệ,0
Vì sợ bị kiện cáo shop đã gọi trực tiếp gọi điện trao dồi và cách xử lý đổi hàng,0
"Cực kì tệ, giao sai size L mà giao XL, lộn logo mặc dù chat kĩ càng rồi, mọi người không nên mua, shop làm ăn rất tệ Chất lượng sản phẩm rất kém, đổi trả thì lại mất tiền gửi nên mình k cần",0
"Mác không như ảnh shop đăng.Dặn qua tin nhắn shopee là gửi 3c màu hồng nhưng lại gửi 2c xám xịt đường chỉ may xấu tệ chất bèo nhèo giặt 1 lần là xù nát.Tốt nhất không nên mua loại áo này,đã mua hàng shop 1 lần ưng ý,lần này thì thất vọng luôn, quá tệ",0
Áo crt bị lỗi :((,0
Tiền nào của đấy k sai các chế ah,0
"Chứ mua đôi này thì giá thấy hơi cao, giày này size thì chuẩn mà bị loang phần màu mũi giày, keo dán nhìn rõ, có chỗ nhựa còn hơi bị bong ra xíu",0
Nếu tốt sẽ tiếp tục ủng hộ,0
Tiền nào của nấy,0
Áo thì gkê cực kỳ,0
"Bỉm cứng và mùi hôi, không giống bỉm mua ở đại lý",0
"Vải mỏng như quần sịp, bị bẩn",0
Vải mỏng quá,0
Màu vải ít giống với hình ảnh thực tế,0
Nhưng giao hàng hơi lâu...,0
Màu sắc giống mẫu có điều túi khá nhỏ không gian chứa ít,0
Shop gửi thiếu 1 cái áo dài tay size l ạ,0
Hang tam duoc,0
"Chất lượng sản phẩm tạm được, khi xả đồ chưa thấy thơm như lời giới thiệu",0
Thất vọng,0
Gjao ko đúng mau,0
Chất lượng sản phẩm kém,0
Thất vọng!,0
Chỉ online để duyệt đơn hàng thôi thì phải,0
Rộng,0
Hàng đóng gói không đẹp,0
Cảm thấy thất vọng,0
Đặt 2L shop lại giao 1L 1M,0
Vai nong .ko dep,0
shop ban hang dieu,0
Sản phẩm kém,0
Vải thô bóng không phải kaki quá tệ Chất lượng sản phẩm rất kém,0
Không đung sizeGiao hàng chậm,0
sao hình bên trong áo màu đen mà ship tới lại thành màu trắng huhuuu,0
Áo hơi nhỏ,0
"Hàg như cái khăn lâu nhàu nhĩ, màu mè rất xấu nhìn lôi thôi",0
Giao San pham bi rach Rất không đáng tiền,0
Hang k đẹp k mjn,0
Vai áo thì may trễ xuống gần đến khuỷu tay. tay áo lại ngắn,0
Nhận hàng xong chán luôn,0
Áo dài tới tận gối không giống hình như váy luôn ý ship 1 trả tiền 2,0
chất liệu không đẹp lắm,0
Ống tay k giống kiểu như trong hình,0
"Áo vải mỏng, đường may ko đẹp, cổ tim bị lệch",0
Sao shop k quấn nổi miếng xốp bong bóng quanh son cho nó đỡ hỏng hả shop :( Thân son xước từa lưa :,0
Vải mỏng giống thun mỏng hơn là len,0
Chắc chắn sửa xong sẽ dùng đĩa,0
"Chất lượng sản phẩm rất kém, quần ngắn hơn so với thực tế, vải cứng, ống to, đường may ẩu, Nchung k nên mua, phí tiền 😫",0
Mặc dù mua về để sửa win nhưng mà còn lỗi bên cạnh là máy bị hư pin rồi nên phải mua pin mới cài được,0
Bộ ngủ không giống trong hình,0
"Giao hàng thiếu, đang đợi shop trả hàng",0
Có 1 cái k cÓ logo,0
"Hàng giao ko đúng màu, chất lượng sp được, nhân viên giao hàng rất khó chịu",0
kk như mong đợi,0
Chỉ có tem của H&M thôi,0
Xau qua xau,0
Đường may k đc chắc chắn lắm,0
Hang khong giong y hinh khong dang tien,0
Chất vải hơi nóng,0
Áo đẹp,0
Nói chung với số tiền trên thì hợp lí,0
"Máy phun yếu, ko giống máy mình đã mua ở shop khác",0
Áo hơi ngắn so với mình,0
"shop gửi hàng ko có dây nối điện, chờ giải thích mà chưa thoả đáng",0
Đặt lại sz S mà vẫn ship sai M cho mình,0
chất vải dày và nóng,0
"Giao nhầm size và size 2 đôi nhận đc cũng ko chuẩn, cùng 36 nhưng có đôi kích đôi vừa",0
Vải xấu,0
"Đóng gói sản phẩm kém, hộp nát sau khi nhận hàng, nhân viên vận chuyển không đọc kỹ lưu ý của khách hàng",0
Hơi tệ hơn chiếc kia nha,0
"Dù đã nhắn tin SHop, để lại ghi chú và chọn sản phẩm trên ap , SHop vẫn giao sai màu",0
Chất ko đẹp,0
Mới lấy mà dây đeo đã đứt,0
Vải không giống trên hình ảnh,0
sije xxl chi bang sije m Cua cac loai quan khác,0
Quá ngắn cho với ảnh !!,0
Cân nhắc khi mua nhé m.n,0
Thời gian giao hàng chậm Không đáng tiền Không đáng tiền,0
Mà cổ áo bản cổ to hơn,0
Chất liệu so với giá tiền tạm ổn,0
"Mình dặn k gấp hộp thì gấp hộp làm hộp bị méo. 1 lần nhầm size. 1 lần nhầm mẫu. 1 lần 1 chiếc 38 , 1 chiếc 36",0
shop làm ăn cẩu thả .áo lỗi cũng đem giao cho khách .tôi yêu cầu trả hàng hoàn tiền vậy mà shop khiếu nai tôi .thật là nực cười .tôi có bằng chứng áo lỗi mới yêu cầu trả hàng .rất rất lâu tôi mới nhận được giải quyết của Shopee nhưng dù sao thì tôi cũng được shopee bảo vệ .Cám ơn Shopee,0
Chất lượng sản phẩm không tốt như mong đợi,0
Còn chặn luôn tài khoản của mình mà ko thèm đổi trả,0
"Đã nhắc nhở kĩ càng mà vẫn giao thiếu 2 món mình cần nhất, tuy rằng shop hoàn tiền nhưng giờ mình phải đi mua lại và chịu ship 1 lần nữa có bực ko, đặt 13 món thiếu hết 3 món",0
Nhắn tin thì không trả lời,0
THIẾU HÀNG THÌ GỬI TIỀN LẠI KHÁCH CHỨ ĐỪNG CÓ TUỲ TIỆN GỬI MẪU KHÁC,0
"shop ban hang cu, da qua su dung. hang ko co tem ko co nguon goc ro rang, ko dung voi mo ta nhung ko chiu doi tra hang cho khach moi khieu nai cua khach deu bi huy bo. khach mua 10 cai nhung ko co cai nao co tem va cai nao cung bi nhau nhet het",0
Thật thất vọng khi bị shop lừa gửi hàng chất ko như trong hình.mua một lần chứ ko có lần thứ 2😡😡😡😡,0
Không thơm,0
Duoc 50% là chat luọng còn lại ko dáng tien,0
"Mình đặt màu xanh, shop lại giao màu trắng",0
Giao Hàng quá chậm,0
Thời gian giao hàng chậm,0
"Chất liệu cứng k như mô tả, giao khác mẫu đã đăng",0
Vải tạm được,0
Vui lòng cải thiện dịch vụ giao hàng KHÔNG GIAO VÀO GIỜ NGHỈ,0
Giá sale rồi mua thì đc chứ nếu để mua nguyên giá thì quá là phí tiền,0
Mua giùm chứ có mua mặc đâu mà sao cũng đc,0
Chất lượng sản phẩm kém.phôm không k rộng và đẹp như trong hìn,0
#NAME?,0
"Chất lượng kính ko dc tốt lắm , bám vây tay và khá rít",0
Váy cũng được nhưng thấy màu đậm quá mặc sẽ rất chóe,0
Hàng không như mong đợi,0
Shop bán k đúng mẫu.k đúng màu.hình đăng bán khác nhưng giao hàng là cái khác.giống lừa đảo quá,0
Giao sai mẫu nên không đánh giá chính xác sản phẩm này được,0
"Đằng trước thấm nước nhẹ, dễ bị phai màu khi cát chà vào",0
"Áo mỏng, chất áo đen mỏng và xấu hơn áo trắng",0
Hình ảnh của sản phẩm ko phải là hình ảnh thật của máy,0
Hàng size cũng k đều nhau,0
Đây là tất cao cổ à,0
Cổ áo và vạt áo thì may KHÔNG HỀ CO DÃN và KHÔNG THỂ CHUI LỌT để mặc,0
Áo hơi nhỏ với mk,0
Mặc nhăn và nhàu quá,0
Quần này thường form rộng,0
Ko đẹp bằng áo dài tay mua trước tết,0
Cạch,0
Thất vọng về shop,0
Chất vải rất xấu mỏng và ráp,0
ko giống lắm.dây mũ như dây giày ý.lại mỏng nữa,0
"Thời gian giao hàng rất lâu, sảng không được hài cho lắm",0
Chất không khác gì cái váy 40k ở shop khác,0
"Son bột, khô môi",0
Giao trùng màu không được nhiều màu như hình chụp,0
Mk mua 1 váy 1 áo thì giao 1 áo,0
Áo hơi cứng,0
Váy ok đẹp nhưng bị phai màu,0
Rất mỏng,0
"Túi thơm mùi như mùi chất hóa học, để 1 lúc đau hết cả đầu",0
Size áo nhỏ,0
"Shop ship sai màu, đã phản ánh nhưng ko đổi",0
Hok giống như hình một chút nào:),0
"Váy k giản,ng mình bé vậy mà vai k vừa,chật k thở đc,khó khăn lắm mới kéo váy xuống đc.chắc người nào 40kg mới vừa.k hiểu sao mọi người mua rồi khen ghê vậy",0
"Lần sau m sẽ mua tiếp, hy vong lần sau shop giao đúng màu đúng mẫu nhé",0
size s hơi rộng...k dc đẹp,0
Vì dép bé,0
Giao hàng chậm,0
Đường may sơ xài vầy mà nói hàng VNXK,0
"Chất k phải đũi, form hơi chật vai, cổ tròn chứ k phải cổ tim như hình",0
Tạm,0
"Đẹp ạ, còn",0
Vì k giao đúng sz cho khách,0
Tại sao đat áo này giao áo kia là sao. sao shop giao hang kì wa vậy k đúng hàng j het sao giảm đặc hàng nữa,0
Sp sử dụng không có hiệu quả,0
Mình mặc quả là thảm hoạ 😭😭,0
Lấy hồng nhạt giao hồng đậm,0
